question_id,correct_label,correct_text,domain,difficulty
1,ب,عملية منهجية لجمع بيانات كمية ونوعية وتحليلها في ضوء معايير لإصدار حكم وتحسين القرار.,تعريفات التقويم وأنماطه,متوسط
2,أ,تحديد الفجوة بين ما خُطط له وما نُفذ فعليًا.,تعريفات التقويم وأنماطه,صعب
3,أ,يوفر معلومات منظمة تساعد في اختيار بدائل أو تعديل مسار أو إصدار حكم.,تعريفات التقويم وأنماطه,صعب
4,د,يعطي وصفًا كميًا أو درجة، بينما التقويم يفسرها في ضوء معيار وقرار.,تعريفات التقويم وأنماطه,صعب
5,أ,تقويم؛ لأنه جمع بين البيانات والمحك والحكم والتحسين.,تعريفات التقويم وأنماطه,متوسط
6,د,جمع بيانات كثيرة دون ربطها بسؤال تقويمي أو قرار لاحق.,تعريفات التقويم وأنماطه,صعب
7,أ,مرجعًا أو مستوى أداء تُقارن به النتائج لإصدار حكم.,تعريفات التقويم وأنماطه,متوسط
8,د,تحليل خبرات الطلاب السابقة قبل بدء البرنامج لتعديل خطة التدريس.,تعريفات التقويم وأنماطه,صعب
9,أ,تقديم تغذية راجعة أثناء التنفيذ تسمح بتعديل التدريس أو البرنامج.,تعريفات التقويم وأنماطه,متوسط
10,ج,يركز على الحكم على النتائج بعد اكتمال البرنامج أو المرحلة.,تعريفات التقويم وأنماطه,متوسط
11,ب,التقويم المقارن القائم على محكات مشتركة بين البرنامجين.,تعريفات التقويم وأنماطه,صعب
12,أ,يعتمد إجراءات موثقة وأدوات واضحة ومعايير معلنة.,تعريفات التقويم وأنماطه,متوسط
13,أ,عند الحاجة إلى فهم أسباب السلوك التنظيمي وخبرات المشاركين وسياق التطبيق.,تعريفات التقويم وأنماطه,صعب
14,ب,يجمع دقة المؤشرات الكمية مع عمق تفسير البيانات النوعية.,تعريفات التقويم وأنماطه,صعب
15,د,فهم الأداء من داخل المؤسسة وبناء تحسين مستمر قابل للتنفيذ.,تعريفات التقويم وأنماطه,متوسط
16,ج,عندما يُستخدم وحده لإصدار قرار اعتماد أو إغلاق برنامج.,تعريفات التقويم وأنماطه,صعب
17,ب,مدى توافق الأداء مع معايير معلنة وتحسينه بناءً على الشواهد.,تعريفات التقويم وأنماطه,متوسط
18,ب,الاختبار أداة لجمع بيانات عن أداء محدد، أما التقويم فيشمل الحكم والتحسين.,تعريفات التقويم وأنماطه,صعب
19,د,تقدم معلومات قابلة للاستخدام لتحسين تعلم أو أداء أو قرار.,تعريفات التقويم وأنماطه,متوسط
20,ج,تفسير التباين بين المصادر قبل إصدار الحكم النهائي.,تعريفات التقويم وأنماطه,صعب
21,ج,تقيس السمة أو المخرج الذي صممت لقياسه فعلًا.,المعايير والأدوات والمستويات,متوسط
22,أ,الثبات.,المعايير والأدوات والمستويات,صعب
23,ب,تقل آثار تحيز المقوم عبر محكات وإجراءات تصحيح واضحة.,المعايير والأدوات والمستويات,متوسط
24,ج,استخدام اختبار حفظ لقياس قدرة الطلاب على تصميم مشروع تطبيقي.,المعايير والأدوات والمستويات,صعب
25,د,يغطي الجوانب الرئيسة للأداء ولا يختزل البرنامج في مؤشر واحد.,المعايير والأدوات والمستويات,متوسط
26,أ,استبانة مقننة ذات بنود مرتبطة بالمحاور.,المعايير والأدوات والمستويات,متوسط
27,أ,بطاقة ملاحظة منظمة بمؤشرات أداء محددة.,المعايير والأدوات والمستويات,صعب
28,د,وحدة التحليل ونطاق القرار الناتج عن التقويم.,المعايير والأدوات والمستويات,متوسط
29,ب,إعلان الغرض وحماية الخصوصية واستخدام النتائج في حدود ما صُممت له.,المعايير والأدوات والمستويات,صعب
30,أ,فحص جودة الأدوات والسياق قبل ترجيح أحد المصدرين.,المعايير والأدوات والمستويات,صعب
31,د,الأداء الشامل للمؤسسة في ضوء رسالتها وحوكمتها ومواردها ونتائجها.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
32,ب,برنامج أكاديمي أو تدريبي محدد من حيث أهدافه وخطته ومخرجاته.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
33,د,جودة البرامج تغذي الحكم المؤسسي، والمؤسسة توفر البيئة والحوكمة الداعمة للبرامج.,التقويم المؤسسي والبرامجي والمفاهيم,صعب
34,د,ما ينبغي أن يتحقق أو مستوى الأداء المقبول.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
35,ج,قياسًا كميًا أو نوعيًا يوضح مدى تحقق معيار معين.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
36,ب,يرتبط مباشرة بالمؤشر ويكون قابلًا للتحقق والمراجعة.,التقويم المؤسسي والبرامجي والمفاهيم,صعب
37,د,اعترافًا رسميًا بأن المؤسسة أو البرنامج استوفى متطلبات جودة محددة.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
38,د,تتابع التقدم أثناء التنفيذ لكشف الانحرافات مبكرًا.,التقويم المؤسسي والبرامجي والمفاهيم,صعب
39,ب,تتحمل مسؤولية نتائجها أمام أصحاب العلاقة وفق شواهد ومعايير.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
40,د,وجود أدوار وصلاحيات وآليات متابعة تنظم جمع البيانات واستخدامها.,التقويم المؤسسي والبرامجي والمفاهيم,صعب
41,ب,نماذج أعمال طلابية مصححة وفق روبريك وسجلات تحليل النتائج.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
42,أ,غياب الرابط بين المطلوب وما تحقق فعليًا.,التقويم المؤسسي والبرامجي والمفاهيم,صعب
43,ج,موثقًا وصادقًا ويربط النتائج بالمعايير وخطط التحسين.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
44,أ,خلط مستوى التحليل وإصدار حكم يتجاوز حدود البيانات.,التقويم المؤسسي والبرامجي والمفاهيم,صعب
45,ج,تحويل النتائج إلى معرفة عملية تقود تحسينًا محددًا.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
46,ب,عندما لا تُقارن بالممارسة الفعلية ونتائج المستفيدين.,التقويم المؤسسي والبرامجي والمفاهيم,صعب
47,أ,الخطة الدراسية ونواتج التعلم وطرائق القياس ورضا المستفيدين.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
48,ج,يوفر فحصًا مستقلًا للشواهد ويقلل أثر التحيز الداخلي.,التقويم المؤسسي والبرامجي والمفاهيم,صعب
49,ب,استوفى جوانب أساسية مع وجود متطلبات تحسين ومتابعة لاحقة.,التقويم المؤسسي والبرامجي والمفاهيم,متوسط
50,أ,ربطها بخطة تحسين ومسؤوليات ومؤشرات متابعة.,التقويم المؤسسي والبرامجي والمفاهيم,صعب
51,ب,مدى تحقق الأهداف العامة والبرامجية وفق بيانات وشواهد.,الأهداف والجودة والمعايير والمؤشرات,متوسط
52,ج,صعوبة بناء مؤشرات وشواهد صالحة للحكم على تحققها.,الأهداف والجودة والمعايير والمؤشرات,صعب
53,أ,واضحًا وقابلًا للقياس ومتصلاً برسالة البرنامج أو المؤسسة.,الأهداف والجودة والمعايير والمؤشرات,متوسط
54,د,يعطي دليلًا قابلًا للقياس على مقدار التقدم نحو الهدف.,الأهداف والجودة والمعايير والمؤشرات,صعب
55,أ,تحديد نقطة البداية التي تقارن بها نتائج التحسن لاحقًا.,الأهداف والجودة والمعايير والمؤشرات,متوسط
56,د,يمثل مستوى أداء مرغوبًا ومبررًا وقابلًا للتحقق خلال زمن محدد.,الأهداف والجودة والمعايير والمؤشرات,صعب
57,ب,تضع أداء المؤسسة أو البرنامج في سياق معايير أو مؤسسات مشابهة.,الأهداف والجودة والمعايير والمؤشرات,متوسط
58,ب,نسبة الخريجين الذين يحققون كفايات تدريسية موثقة في التدريب الميداني.,الأهداف والجودة والمعايير والمؤشرات,صعب
59,د,الأهداف الاستراتيجية أو نواتج البرنامج ذات الأولوية.,الأهداف والجودة والمعايير والمؤشرات,متوسط
60,ج,غامض ولا يحدد مجال القياس أو طريقة الحكم أو المستوى المستهدف.,الأهداف والجودة والمعايير والمؤشرات,صعب
61,أ,يعبر عن الأداء بأرقام أو نسب أو معدلات قابلة للمقارنة.,الأهداف والجودة والمعايير والمؤشرات,متوسط
62,ج,وصف جودة ممارسة أو تفسير خبرة لا تكفي الأرقام وحدها لفهمها.,الأهداف والجودة والمعايير والمؤشرات,صعب
63,ج,تثبت تحقق المعايير أمام المراجعين الداخليين أو الخارجيين.,الأهداف والجودة والمعايير والمؤشرات,متوسط
64,ب,مصدر بياناته وطريقة حسابه واضحان ويمكن مراجعتهما.,الأهداف والجودة والمعايير والمؤشرات,صعب
65,د,الحاجة إلى مؤشرات متعددة لفحص جودة المخرجات لا الاكتفاء بنسبة النجاح.,الأهداف والجودة والمعايير والمؤشرات,متوسط
66,أ,جمع بيانات كثيرة لا تخدم سؤال التقويم أو القرار.,الأهداف والجودة والمعايير والمؤشرات,صعب
67,ب,متوسط رضا الطلبة أو الخريجين عن خدمات الإرشاد وفق استبانة مقننة.,الأهداف والجودة والمعايير والمؤشرات,متوسط
68,أ,توثيق الخلل وتحسين مصدر البيانات قبل بناء حكم قوي عليه.,الأهداف والجودة والمعايير والمؤشرات,صعب
69,ج,إجراءات ومسؤوليات وجدولًا زمنيًا ومؤشرات متابعة.,الأهداف والجودة والمعايير والمؤشرات,متوسط
70,ج,يوفر الأدلة التي تكشف الفجوات وتوجه التحسين المستمر.,الأهداف والجودة والمعايير والمؤشرات,صعب
71,ب,قياس مدى تحقق الأهداف التعليمية المحددة مسبقًا.,مؤشرات الأداء والنماذج والتصميم و CIPP,متوسط
72,ج,يهمل النتائج غير المقصودة والسياقات التي تؤثر في البرنامج.,مؤشرات الأداء والنماذج والتصميم و CIPP,صعب
73,ج,رصد الآثار الفعلية المتوقعة وغير المتوقعة دون انحياز للأهداف المعلنة.,مؤشرات الأداء والنماذج والتصميم و CIPP,صعب
74,ب,السياق، المدخلات، العمليات، المنتجات.,مؤشرات الأداء والنماذج والتصميم و CIPP,متوسط
75,ب,ما الحاجات والمشكلات والفرص التي تبرر البرنامج؟,مؤشرات الأداء والنماذج والتصميم و CIPP,متوسط
76,ج,ملاءمة الموارد والخطط والاستراتيجيات لتحقيق الأهداف.,مؤشرات الأداء والنماذج والتصميم و CIPP,متوسط
77,د,متابعة التنفيذ واكتشاف الانحرافات أثناء سير البرنامج.,مؤشرات الأداء والنماذج والتصميم و CIPP,متوسط
78,ج,تحليل النتائج والمخرجات ومقارنتها بالأهداف أو المعايير.,مؤشرات الأداء والنماذج والتصميم و CIPP,متوسط
79,د,يدعم قرارات التحسين عبر مراحل البرنامج لا الحكم النهائي فقط.,مؤشرات الأداء والنماذج والتصميم و CIPP,صعب
80,د,الرضا، التعلم، السلوك، النتائج.,مؤشرات الأداء والنماذج والتصميم و CIPP,متوسط
81,أ,السلوك أو نقل أثر التدريب إلى الممارسة.,مؤشرات الأداء والنماذج والتصميم و CIPP,صعب
82,ج,التحسين المستمر ومشاركة العاملين والاعتماد على البيانات ورضا المستفيدين.,مؤشرات الأداء والنماذج والتصميم و CIPP,متوسط
83,أ,بناء نظام إدارة منظم يضمن جودة الخدمات التعليمية وتحسينها.,مؤشرات الأداء والنماذج والتصميم و CIPP,صعب
84,ج,جمع بيانات من عدد كبير حول اتجاهات أو رضا أو خصائص خدمة.,مؤشرات الأداء والنماذج والتصميم و CIPP,متوسط
85,أ,يستخدم مجموعة تجريبية وضابطة وتوزيعًا عشوائيًا ما أمكن.,مؤشرات الأداء والنماذج والتصميم و CIPP,صعب
86,ج,توجد مقارنة بين مجموعات دون قدرة كاملة على التوزيع العشوائي.,مؤشرات الأداء والنماذج والتصميم و CIPP,صعب
87,د,فهم عميق لسياق برنامج أو مؤسسة محددة ببيانات متعددة.,مؤشرات الأداء والنماذج والتصميم و CIPP,متوسط
88,ب,متابعة تغير مؤشرات الأداء عبر زمن ممتد.,مؤشرات الأداء والنماذج والتصميم و CIPP,صعب
89,ج,التقويم الذاتي الداخلي وجمع الشواهد وفق المعايير.,مؤشرات الأداء والنماذج والتصميم و CIPP,متوسط
90,أ,مراجعة تقرير التقويم الذاتي والتحقق ميدانيًا من الشواهد.,مؤشرات الأداء والنماذج والتصميم و CIPP,متوسط
91,د,إعداد خطة تحسين محددة ومتابعة تنفيذها ضمن زمن معلوم.,مؤشرات الأداء والنماذج والتصميم و CIPP,صعب
92,ج,تحديد الغرض والأسئلة وأصحاب العلاقة والقرار المتوقع.,مؤشرات الأداء والنماذج والتصميم و CIPP,متوسط
93,أ,سؤال التقويم ونوع البيانات المطلوبة ومستوى القرار.,مؤشرات الأداء والنماذج والتصميم و CIPP,صعب
94,ب,تمثل أصحاب العلاقة أو الحالات المرتبطة بسؤال التقويم تمثيلًا مناسبًا.,مؤشرات الأداء والنماذج والتصميم و CIPP,متوسط
95,ج,فُصلت النتائج عن الأسئلة والمعايير والسياق الذي جُمعت فيه.,مؤشرات الأداء والنماذج والتصميم و CIPP,صعب
96,د,المنهجية والنتائج والشواهد والتفسير والتوصيات القابلة للتنفيذ.,مؤشرات الأداء والنماذج والتصميم و CIPP,متوسط
97,ب,تنبني على نتيجة محددة وتوضح إجراءً ومسؤولًا ومؤشر متابعة.,مؤشرات الأداء والنماذج والتصميم و CIPP,صعب
98,د,تتحقق من تنفيذ التحسينات وأثرها على المؤشرات اللاحقة.,مؤشرات الأداء والنماذج والتصميم و CIPP,متوسط
99,د,ملاءمة النموذج لغرض الدراسة وأسئلتها ومرحلة البرنامج والقرار المطلوب.,مؤشرات الأداء والنماذج والتصميم و CIPP,صعب
100,ب,السياق يوجه تحديد الحاجة، والمدخلات اختيار الخطة، والعمليات تحسين التنفيذ، والمنتجات الحكم على النتائج.,مؤشرات الأداء والنماذج والتصميم و CIPP,صعب
