question_id,correct_label,correct_text,domain
1,ب,عملية منهجية لجمع بيانات كمية ونوعية وتحليلها في ضوء معايير لإصدار حكم وتحسين القرار.,تعريفات التقويم وأنماطه
2,د,تحديد الفجوة بين ما خُطط له وما نُفذ فعليًا.,تعريفات التقويم وأنماطه
3,ج,يوفر معلومات منظمة تساعد في اختيار بدائل أو تعديل مسار أو إصدار حكم.,تعريفات التقويم وأنماطه
4,أ,يعطي وصفًا كميًا أو درجة، بينما التقويم يفسرها في ضوء معيار وقرار.,تعريفات التقويم وأنماطه
5,أ,تقويم؛ لأنه جمع بين البيانات والمحك والحكم والتحسين.,تعريفات التقويم وأنماطه
6,ج,جمع بيانات كثيرة دون ربطها بسؤال تقويمي أو قرار لاحق.,تعريفات التقويم وأنماطه
7,ب,مرجعًا أو مستوى أداء تُقارن به النتائج لإصدار حكم.,تعريفات التقويم وأنماطه
8,أ,تحليل خبرات الطلاب السابقة قبل بدء البرنامج لتعديل خطة التدريس.,تعريفات التقويم وأنماطه
9,د,تقديم تغذية راجعة أثناء التنفيذ تسمح بتعديل التدريس أو البرنامج.,تعريفات التقويم وأنماطه
10,ج,يركز على الحكم على النتائج بعد اكتمال البرنامج أو المرحلة.,تعريفات التقويم وأنماطه
11,د,التقويم المقارن القائم على محكات مشتركة بين البرنامجين.,تعريفات التقويم وأنماطه
12,د,يعتمد إجراءات موثقة وأدوات واضحة ومعايير معلنة.,تعريفات التقويم وأنماطه
13,أ,عند الحاجة إلى فهم أسباب السلوك التنظيمي وخبرات المشاركين وسياق التطبيق.,تعريفات التقويم وأنماطه
14,ج,يجمع دقة المؤشرات الكمية مع عمق تفسير البيانات النوعية.,تعريفات التقويم وأنماطه
15,أ,فهم الأداء من داخل المؤسسة وبناء تحسين مستمر قابل للتنفيذ.,تعريفات التقويم وأنماطه
16,ج,عندما يُستخدم وحده لإصدار قرار اعتماد أو إغلاق برنامج.,تعريفات التقويم وأنماطه
17,أ,مدى توافق الأداء مع معايير معلنة وتحسينه بناءً على الشواهد.,تعريفات التقويم وأنماطه
18,أ,الاختبار أداة لجمع بيانات عن أداء محدد، أما التقويم فيشمل الحكم والتحسين.,تعريفات التقويم وأنماطه
19,د,تقدم معلومات قابلة للاستخدام لتحسين تعلم أو أداء أو قرار.,تعريفات التقويم وأنماطه
20,ج,تفسير التباين بين المصادر قبل إصدار الحكم النهائي.,تعريفات التقويم وأنماطه
21,د,تقيس السمة أو المخرج الذي صممت لقياسه فعلًا.,المعايير والأدوات والمستويات
22,أ,الثبات.,المعايير والأدوات والمستويات
23,ج,تقل آثار تحيز المقوم عبر محكات وإجراءات تصحيح واضحة.,المعايير والأدوات والمستويات
24,د,استخدام اختبار حفظ لقياس قدرة الطلاب على تصميم مشروع تطبيقي.,المعايير والأدوات والمستويات
25,ب,يغطي الجوانب الرئيسة للأداء ولا يختزل البرنامج في مؤشر واحد.,المعايير والأدوات والمستويات
26,د,استبانة مقننة ذات بنود مرتبطة بالمحاور.,المعايير والأدوات والمستويات
27,د,بطاقة ملاحظة منظمة بمؤشرات أداء محددة.,المعايير والأدوات والمستويات
28,ج,وحدة التحليل ونطاق القرار الناتج عن التقويم.,المعايير والأدوات والمستويات
29,أ,إعلان الغرض وحماية الخصوصية واستخدام النتائج في حدود ما صُممت له.,المعايير والأدوات والمستويات
30,ج,فحص جودة الأدوات والسياق قبل ترجيح أحد المصدرين.,المعايير والأدوات والمستويات
31,د,الأداء الشامل للمؤسسة في ضوء رسالتها وحوكمتها ومواردها ونتائجها.,التقويم المؤسسي والبرامجي والمفاهيم
32,د,برنامج أكاديمي أو تدريبي محدد من حيث أهدافه وخطته ومخرجاته.,التقويم المؤسسي والبرامجي والمفاهيم
33,ب,جودة البرامج تغذي الحكم المؤسسي، والمؤسسة توفر البيئة والحوكمة الداعمة للبرامج.,التقويم المؤسسي والبرامجي والمفاهيم
34,أ,ما ينبغي أن يتحقق أو مستوى الأداء المقبول.,التقويم المؤسسي والبرامجي والمفاهيم
35,ب,قياسًا كميًا أو نوعيًا يوضح مدى تحقق معيار معين.,التقويم المؤسسي والبرامجي والمفاهيم
36,ب,يرتبط مباشرة بالمؤشر ويكون قابلًا للتحقق والمراجعة.,التقويم المؤسسي والبرامجي والمفاهيم
37,د,اعترافًا رسميًا بأن المؤسسة أو البرنامج استوفى متطلبات جودة محددة.,التقويم المؤسسي والبرامجي والمفاهيم
38,ج,تتابع التقدم أثناء التنفيذ لكشف الانحرافات مبكرًا.,التقويم المؤسسي والبرامجي والمفاهيم
39,ب,تتحمل مسؤولية نتائجها أمام أصحاب العلاقة وفق شواهد ومعايير.,التقويم المؤسسي والبرامجي والمفاهيم
40,ج,وجود أدوار وصلاحيات وآليات متابعة تنظم جمع البيانات واستخدامها.,التقويم المؤسسي والبرامجي والمفاهيم
41,ج,نماذج أعمال طلابية مصححة وفق روبريك وسجلات تحليل النتائج.,التقويم المؤسسي والبرامجي والمفاهيم
42,أ,غياب الرابط بين المطلوب وما تحقق فعليًا.,التقويم المؤسسي والبرامجي والمفاهيم
43,ج,موثقًا وصادقًا ويربط النتائج بالمعايير وخطط التحسين.,التقويم المؤسسي والبرامجي والمفاهيم
44,د,خلط مستوى التحليل وإصدار حكم يتجاوز حدود البيانات.,التقويم المؤسسي والبرامجي والمفاهيم
45,د,تحويل النتائج إلى معرفة عملية تقود تحسينًا محددًا.,التقويم المؤسسي والبرامجي والمفاهيم
46,ب,عندما لا تُقارن بالممارسة الفعلية ونتائج المستفيدين.,التقويم المؤسسي والبرامجي والمفاهيم
47,ب,الخطة الدراسية ونواتج التعلم وطرائق القياس ورضا المستفيدين.,التقويم المؤسسي والبرامجي والمفاهيم
48,د,يوفر فحصًا مستقلًا للشواهد ويقلل أثر التحيز الداخلي.,التقويم المؤسسي والبرامجي والمفاهيم
49,ب,استوفى جوانب أساسية مع وجود متطلبات تحسين ومتابعة لاحقة.,التقويم المؤسسي والبرامجي والمفاهيم
50,د,ربطها بخطة تحسين ومسؤوليات ومؤشرات متابعة.,التقويم المؤسسي والبرامجي والمفاهيم
51,أ,مدى تحقق الأهداف العامة والبرامجية وفق بيانات وشواهد.,الأهداف والجودة والمعايير والمؤشرات
52,أ,صعوبة بناء مؤشرات وشواهد صالحة للحكم على تحققها.,الأهداف والجودة والمعايير والمؤشرات
53,ب,واضحًا وقابلًا للقياس ومتصلاً برسالة البرنامج أو المؤسسة.,الأهداف والجودة والمعايير والمؤشرات
54,أ,يعطي دليلًا قابلًا للقياس على مقدار التقدم نحو الهدف.,الأهداف والجودة والمعايير والمؤشرات
55,د,تحديد نقطة البداية التي تقارن بها نتائج التحسن لاحقًا.,الأهداف والجودة والمعايير والمؤشرات
56,أ,يمثل مستوى أداء مرغوبًا ومبررًا وقابلًا للتحقق خلال زمن محدد.,الأهداف والجودة والمعايير والمؤشرات
57,أ,تضع أداء المؤسسة أو البرنامج في سياق معايير أو مؤسسات مشابهة.,الأهداف والجودة والمعايير والمؤشرات
58,ج,نسبة الخريجين الذين يحققون كفايات تدريسية موثقة في التدريب الميداني.,الأهداف والجودة والمعايير والمؤشرات
59,ب,الأهداف الاستراتيجية أو نواتج البرنامج ذات الأولوية.,الأهداف والجودة والمعايير والمؤشرات
60,ج,غامض ولا يحدد مجال القياس أو طريقة الحكم أو المستوى المستهدف.,الأهداف والجودة والمعايير والمؤشرات
61,ب,يعبر عن الأداء بأرقام أو نسب أو معدلات قابلة للمقارنة.,الأهداف والجودة والمعايير والمؤشرات
62,ج,وصف جودة ممارسة أو تفسير خبرة لا تكفي الأرقام وحدها لفهمها.,الأهداف والجودة والمعايير والمؤشرات
63,أ,تثبت تحقق المعايير أمام المراجعين الداخليين أو الخارجيين.,الأهداف والجودة والمعايير والمؤشرات
64,ب,مصدر بياناته وطريقة حسابه واضحان ويمكن مراجعتهما.,الأهداف والجودة والمعايير والمؤشرات
65,د,الحاجة إلى مؤشرات متعددة لفحص جودة المخرجات لا الاكتفاء بنسبة النجاح.,الأهداف والجودة والمعايير والمؤشرات
66,ب,جمع بيانات كثيرة لا تخدم سؤال التقويم أو القرار.,الأهداف والجودة والمعايير والمؤشرات
67,ج,متوسط رضا الطلبة أو الخريجين عن خدمات الإرشاد وفق استبانة مقننة.,الأهداف والجودة والمعايير والمؤشرات
68,أ,توثيق الخلل وتحسين مصدر البيانات قبل بناء حكم قوي عليه.,الأهداف والجودة والمعايير والمؤشرات
69,ب,إجراءات ومسؤوليات وجدولًا زمنيًا ومؤشرات متابعة.,الأهداف والجودة والمعايير والمؤشرات
70,د,يوفر الأدلة التي تكشف الفجوات وتوجه التحسين المستمر.,الأهداف والجودة والمعايير والمؤشرات
71,ب,قياس مدى تحقق الأهداف التعليمية المحددة مسبقًا.,مؤشرات الأداء والنماذج والتصميم و CIPP
72,ب,يهمل النتائج غير المقصودة والسياقات التي تؤثر في البرنامج.,مؤشرات الأداء والنماذج والتصميم و CIPP
73,د,رصد الآثار الفعلية المتوقعة وغير المتوقعة دون انحياز للأهداف المعلنة.,مؤشرات الأداء والنماذج والتصميم و CIPP
74,ب,السياق، المدخلات، العمليات، المنتجات.,مؤشرات الأداء والنماذج والتصميم و CIPP
75,أ,ما الحاجات والمشكلات والفرص التي تبرر البرنامج؟,مؤشرات الأداء والنماذج والتصميم و CIPP
76,أ,ملاءمة الموارد والخطط والاستراتيجيات لتحقيق الأهداف.,مؤشرات الأداء والنماذج والتصميم و CIPP
77,ج,متابعة التنفيذ واكتشاف الانحرافات أثناء سير البرنامج.,مؤشرات الأداء والنماذج والتصميم و CIPP
78,ج,تحليل النتائج والمخرجات ومقارنتها بالأهداف أو المعايير.,مؤشرات الأداء والنماذج والتصميم و CIPP
79,أ,يدعم قرارات التحسين عبر مراحل البرنامج لا الحكم النهائي فقط.,مؤشرات الأداء والنماذج والتصميم و CIPP
80,أ,الرضا، التعلم، السلوك، النتائج.,مؤشرات الأداء والنماذج والتصميم و CIPP
81,د,السلوك أو نقل أثر التدريب إلى الممارسة.,مؤشرات الأداء والنماذج والتصميم و CIPP
82,ب,التحسين المستمر ومشاركة العاملين والاعتماد على البيانات ورضا المستفيدين.,مؤشرات الأداء والنماذج والتصميم و CIPP
83,ج,بناء نظام إدارة منظم يضمن جودة الخدمات التعليمية وتحسينها.,مؤشرات الأداء والنماذج والتصميم و CIPP
84,د,جمع بيانات من عدد كبير حول اتجاهات أو رضا أو خصائص خدمة.,مؤشرات الأداء والنماذج والتصميم و CIPP
85,د,يستخدم مجموعة تجريبية وضابطة وتوزيعًا عشوائيًا ما أمكن.,مؤشرات الأداء والنماذج والتصميم و CIPP
86,ج,توجد مقارنة بين مجموعات دون قدرة كاملة على التوزيع العشوائي.,مؤشرات الأداء والنماذج والتصميم و CIPP
87,ج,فهم عميق لسياق برنامج أو مؤسسة محددة ببيانات متعددة.,مؤشرات الأداء والنماذج والتصميم و CIPP
88,أ,متابعة تغير مؤشرات الأداء عبر زمن ممتد.,مؤشرات الأداء والنماذج والتصميم و CIPP
89,ب,التقويم الذاتي الداخلي وجمع الشواهد وفق المعايير.,مؤشرات الأداء والنماذج والتصميم و CIPP
90,ج,مراجعة تقرير التقويم الذاتي والتحقق ميدانيًا من الشواهد.,مؤشرات الأداء والنماذج والتصميم و CIPP
91,د,إعداد خطة تحسين محددة ومتابعة تنفيذها ضمن زمن معلوم.,مؤشرات الأداء والنماذج والتصميم و CIPP
92,أ,تحديد الغرض والأسئلة وأصحاب العلاقة والقرار المتوقع.,مؤشرات الأداء والنماذج والتصميم و CIPP
93,د,سؤال التقويم ونوع البيانات المطلوبة ومستوى القرار.,مؤشرات الأداء والنماذج والتصميم و CIPP
94,ب,تمثل أصحاب العلاقة أو الحالات المرتبطة بسؤال التقويم تمثيلًا مناسبًا.,مؤشرات الأداء والنماذج والتصميم و CIPP
95,ج,فُصلت النتائج عن الأسئلة والمعايير والسياق الذي جُمعت فيه.,مؤشرات الأداء والنماذج والتصميم و CIPP
96,ب,المنهجية والنتائج والشواهد والتفسير والتوصيات القابلة للتنفيذ.,مؤشرات الأداء والنماذج والتصميم و CIPP
97,ب,تنبني على نتيجة محددة وتوضح إجراءً ومسؤولًا ومؤشر متابعة.,مؤشرات الأداء والنماذج والتصميم و CIPP
98,أ,تتحقق من تنفيذ التحسينات وأثرها على المؤشرات اللاحقة.,مؤشرات الأداء والنماذج والتصميم و CIPP
99,ج,ملاءمة النموذج لغرض الدراسة وأسئلتها ومرحلة البرنامج والقرار المطلوب.,مؤشرات الأداء والنماذج والتصميم و CIPP
100,ب,السياق يوجه تحديد الحاجة، والمدخلات اختيار الخطة، والعمليات تحسين التنفيذ، والمنتجات الحكم على النتائج.,مؤشرات الأداء والنماذج والتصميم و CIPP
